Columbia High Yield Bond Fund Institutional 3 Class (CHYYX),CHYYX,MF,High Yield Bond,4.0,4.0,4.0,4.0,9.0,7.5,5.89,NA,NA,NA,NA,6.33,4.1,-1.15,11.6,6.63,-4.07,17.15,6.06,3.5,0.63,0.67,9.35,7.49,6.95,0.72,0.76,0.84,2.41,NA,NA,84.58,11.42,1.59
T. Rowe Price High Yield Fund I Class (PRHIX),PRHIX,MF,High Yield Bond,4.0,4.0,4.0,4.0,9.77,6.66,NA,NA,NA,NA,NA,NA,NA,NA,14.64,7.5,-3.22,14.78,5.07,3.85,0.6,0.6,9.33,7.42,7.06,0.63,0.78,0.8,1.77,1.91,NA,81.72,11.35,3.24
American Funds American High-Income Trust Class F-3 (HIGFX),HIGFX,MF,High Yield Bond,4.0,5.0,3.0,4.0,16.22,7.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.51,12.23,7.4,6.91,0.34,0.34,9.35,7.4,7.11,0.73,0.89,0.73,5.02,4.82,0.09,75.59,11.57,2.91
Lord Abbett High Yield Fund Class F3 (LHYOX),LHYOX,MF,High Yield Bond,3.0,3.0,5.0,3.0,13.75,6.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.94,15.36,4.78,5.16,0.61,0.61,11.58,9.13,7.91,0.52,0.68,0.8,NA,1.53,0.22,81.72,14.3,2.23
PIMCO High Yield Fund Institutional Class (PHIYX),PHIYX,MF,High Yield Bond,4.0,3.0,4.0,4.0,8.09,6.58,5.77,5.89,14.24,4.0,14.55,5.77,3.31,-1.85,12.7,7.01,-2.49,14.93,5.34,2.79,0.57,0.57,8.29,6.66,6.44,0.7,0.82,0.84,-3.28,0.22,0.09,86.66,9.25,7.07
Hartford High Yield Fund Class F (HAHFX),HAHFX,MF,High Yield Bond,4.0,4.0,3.0,4.0,9.53,6.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.23,15.02,7.63,2.87,0.55,0.6,9.51,7.58,6.84,0.67,0.78,0.77,4.76,0.28,NA,77.1,14.11,3.75
BlackRock High Yield Bond Portfolio Class K (BRHYX),BRHYX,MF,High Yield Bond,4.0,4.0,5.0,5.0,11.04,6.93,6.24,6.68,18.64,3.15,17.19,9.5,3.31,-3.96,14.01,8.31,-2.76,15.58,5.93,4.34,0.51,0.52,9.69,7.67,7.04,0.65,0.85,0.88,0.46,2.77,0.02,81.17,12.93,2.65
PGIM High Yield Fund- Class R6 (PHYQX),PHYQX,MF,High Yield Bond,4.0,5.0,5.0,5.0,11.92,7.74,7.02,NA,NA,NA,14.45,7.15,2.95,-2.68,15.61,7.7,-1.18,16.26,5.72,4.84,0.41,0.41,9.96,7.92,7.06,0.7,0.86,0.9,0.33,1.96,NA,80.19,11.14,6.38
iShares iBoxx $ High Yield Corporate Bond ETF (HYG),HYG,ETF ,High Yield Bond,3.0,3.0,3.0,3.0,12.95,6.36,6.0,5.36,12.07,5.89,13.83,5.9,2.0,-5.55,13.92,6.09,-1.93,14.23,4.12,3.08,NA,NA,8.6,6.87,6.96,0.61,0.75,0.71,NA,NA,NA,NA,NA,NA
SPDR Bloomberg Barclays High Yield Bond ETF (JNK),JNK,ETF ,High Yield Bond,3.0,3.0,2.0,3.0,14.04,6.65,6.2,5.18,14.07,4.7,14.34,5.89,1.15,-7.22,14.75,6.48,-3.18,14.97,4.66,3.22,NA,NA,9.23,7.37,7.52,0.6,0.73,0.64,0.69,0.05,NA,86.33,11.53,1.4
MainStay MacKay High Yield Corporate Bond Fund Class R6 (MHYSX),MHYSX,MF,High Yield Bond,4.0,4.0,4.0,4.0,10.0,6.6,6.35,NA,NA,NA,NA,NA,1.75,-1.44,15.99,6.79,-1.34,13.03,5.28,4.29,0.6,0.6,8.62,6.85,6.06,0.67,0.84,0.92,4.74,2.14,0.1,79.73,9.97,3.32
Fidelity Advisor High Income Advantage Fund Class Z (FIQTX),FIQTX,MF,High Yield Bond,5.0,5.0,5.0,5.0,21.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.91,9.03,8.79,0.65,0.65,13.2,10.46,9.31,0.65,0.82,0.76,9.88,18.22,1.2,61.09,7.78,1.84
Franklin High Income Fund Class R6 (FHRRX),FHRRX,MF,High Yield Bond,4.0,4.0,3.0,4.0,10.81,7.02,6.04,NA,NA,NA,NA,NA,-0.13,-10.47,19.71,7.0,-3.5,15.26,6.49,4.2,0.52,0.57,8.84,7.26,7.62,0.7,0.88,0.7,3.79,1.26,NA,79.59,12.42,2.94
Eaton Vance Income Fund of Boston Class R6 (EIBRX),EIBRX,MF,High Yield Bond,3.0,3.0,4.0,3.0,10.01,6.39,5.64,NA,NA,NA,NA,NA,NA,-1.88,13.03,6.35,-2.47,13.65,5.18,4.12,0.66,0.69,8.6,6.81,6.24,0.65,0.78,0.86,3.09,1.17,0.14,80.13,13.69,1.78
Federated Hermes Institutional High Yield Bond Fund Class R6 (FIHLX),FIHLX,MF,High Yield Bond,4.0,4.0,5.0,4.0,9.34,6.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.17,-2.82,14.98,5.99,3.6,0.49,0.52,8.94,7.15,6.65,0.68,0.81,0.91,1.25,0.54,NA,87.72,9.59,0.9
Nuveen High Yield Income Fund Class R6 (NCSRX),NCSRX,MF,High Yield Bond,2.0,4.0,4.0,3.0,12.16,5.41,5.67,NA,NA,NA,NA,NA,NA,-8.39,20.7,6.18,-0.54,13.37,2.12,4.93,0.64,0.69,9.82,7.87,7.4,0.49,0.78,0.76,4.96,0.44,NA,83.94,9.48,1.18
VanEck Vectors Fallen Angel High Yield Bond ETF (ANGL),ANGL,ETF ,High Yield Bond,5.0,5.0,N/A,5.0,20.17,10.29,9.06,NA,NA,NA,NA,6.89,6.05,-3.89,25.34,9.64,-4.93,16.53,13.33,5.78,NA,NA,11.36,9.08,NA,0.79,0.89,NA,NA,NA,NA,NA,NA,NA
PGIM Short Duration High Yield Income Fund- Class R6 (HYSQX),HYSQX,MF,High Yield Bond,3.0,3.0,N/A,3.0,9.95,6.27,5.45,NA,NA,NA,NA,NA,NA,1.48,7.7,4.82,1.31,11.6,4.2,4.6,0.7,0.73,7.96,6.22,NA,0.67,0.76,NA,0.72,1.65,NA,80.05,12.43,5.16
JPMorgan High Yield Fund Class R6 (JHYUX),JHYUX,MF,High Yield Bond,3.0,3.0,3.0,3.0,12.55,6.08,5.45,5.65,14.82,2.58,14.92,7.16,2.76,-4.59,14.0,6.82,-2.71,13.64,3.0,5.88,0.59,0.61,9.42,7.47,6.92,0.57,0.71,0.75,1.28,3.37,NA,85.88,6.43,3.04
MFS High Income Fund Class R6 (MHIKX),MHIKX,MF,High Yield Bond,3.0,3.0,3.0,3.0,7.18,6.23,5.41,NA,NA,NA,NA,6.4,2.82,-3.49,13.77,6.5,-2.95,14.84,4.8,2.65,0.59,0.59,7.86,6.32,6.21,0.7,0.82,0.83,2.56,NA,0.05,82.96,12.57,1.86
MFS Global High Yield Fund Class R6 (MHOVX),MHOVX,MF,High Yield Bond,3.0,3.0,3.0,3.0,8.27,6.12,5.36,5.53,16.52,3.46,15.31,6.05,2.67,-3.7,13.32,7.47,-2.76,14.4,4.23,2.82,0.74,0.82,8.62,6.93,6.68,0.63,0.75,0.76,3.77,NA,0.25,52.37,41.12,2.48
John Hancock High Yield Fund Class R6 (JFHYX),JFHYX,MF,High Yield Bond,3.0,4.0,3.0,3.0,10.99,6.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.18,-2.8,13.79,4.59,4.52,0.57,0.58,9.91,7.89,8.26,0.56,0.73,0.59,1.28,1.54,NA,79.22,12.13,5.83
Calvert High Yield Bond Fund Class I (CYBIX),CYBIX,MF,High Yield Bond,3.0,3.0,3.0,3.0,7.67,6.2,5.2,5.48,16.5,5.94,15.4,8.55,-0.77,-2.13,12.1,6.09,-2.53,12.81,5.44,2.82,0.77,0.79,7.52,5.98,5.67,0.71,0.79,0.88,4.6,0.88,NA,82.51,10.75,1.26
Hotchkis & Wiley High Yield Fund Class Z (HWHZX),HWHZX,MF,High Yield Bond,2.0,2.0,3.0,2.0,14.3,4.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.77,3.83,4.79,0.6,0.63,11.32,8.97,7.98,0.38,0.59,0.68,0.18,4.54,0.01,77.39,11.7,6.18
PIMCO 0-5 Year High Yield Corporate Bond Index Exchange-Traded Fund (HYS),HYS,ETF ,High Yield Bond,2.0,2.0,2.0,2.0,14.51,5.06,5.66,5.05,NA,NA,12.22,8.26,0.5,-4.71,14.54,5.83,-0.56,9.89,2.9,3.78,NA,NA,8.63,6.78,6.09,0.45,0.68,0.74,2.36,0.34,NA,77.98,9.68,9.65
First Eagle High Income Fund Class I (FEHIX),FEHIX,MF,High Yield Bond,3.0,3.0,2.0,3.0,10.39,5.29,4.97,5.02,15.76,4.07,15.19,6.92,-0.24,-7.04,17.19,4.87,-0.43,8.93,7.32,2.6,0.79,0.79,8.14,6.49,6.71,0.53,0.76,0.69,8.81,4.36,NA,73.66,12.17,1.0
Neuberger Berman High Income Bond Fund Institutional Class (NHILX),NHILX,MF,High Yield Bond,4.0,3.0,3.0,3.0,10.2,6.73,5.62,5.57,14.71,3.12,14.64,7.57,1.51,-4.77,14.17,5.46,-2.35,13.9,6.41,3.59,0.7,0.7,9.5,7.57,7.16,0.64,0.73,0.73,6.17,NA,NA,82.29,10.11,1.44
VanEck Vectors International High Yield Bond ETF (IHY),IHY,ETF ,High Yield Bond,3.0,3.0,N/A,3.0,13.79,6.98,6.45,NA,NA,NA,NA,7.63,-3.29,-3.59,11.22,11.6,-4.59,12.78,8.59,0.45,NA,NA,10.82,8.79,NA,0.55,0.62,NA,2.29,NA,0.25,0.03,96.27,1.16
SPDR Bloomberg Barclays Short Term High Yield Bond ETF (SJNK),SJNK,ETF ,High Yield Bond,3.0,3.0,N/A,3.0,14.93,5.94,6.11,NA,NA,NA,NA,6.85,-0.73,-6.56,14.27,5.31,-0.26,9.53,5.67,4.21,NA,NA,8.24,6.5,NA,0.58,0.78,NA,2.6,NA,NA,NA,NA,0.22
iShares US & Intl High Yield Corp Bond ETF (GHYG),GHYG,ETF ,High Yield Bond,3.0,3.0,N/A,3.0,15.11,6.34,6.37,NA,NA,NA,NA,7.78,-0.67,-6.4,12.29,9.5,-3.67,13.22,6.38,2.53,NA,NA,9.53,7.69,NA,0.56,0.69,NA,0.61,NA,NA,64.26,33.34,1.79
Xtrackers USD High Yield Corporate Bond ETF (HYLB),HYLB,ETF ,High Yield Bond,3.0,N/A,N/A,3.0,13.28,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.96,-1.91,14.07,4.87,2.98,NA,NA,8.43,NA,NA,0.63,NA,NA,1.34,NA,NA,86.24,11.34,1.09
Invesco BulletShares 2025 High Yield Corporate Bond ETF (BSJP),BSJP,ETF ,High Yield Bond,3.0,N/A,N/A,3.0,13.73,6.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.52,16.73,4.28,3.22,NA,NA,9.27,NA,NA,0.6,NA,NA,2.69,NA,NA,88.74,7.81,0.76
iShares Broad USD High Yield Corporate Bond ETF (USHY),USHY,ETF ,High Yield Bond,4.0,N/A,N/A,4.0,15.16,7.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.54,14.63,6.02,3.85,NA,NA,9.41,NA,NA,0.65,NA,NA,NA,NA,NA,NA,NA,1.73
