Invesco Global Strategic Income Fund Class R6 (OSIIX),OSIIX,MF,Multisector Bond,1.0,1.0,1.0,1.0,3.42,2.82,2.7,NA,NA,NA,NA,0.22,3.07,-2.2,7.12,6.66,-4.36,10.73,3.88,-2.86,0.62,0.62,11.73,9.21,7.34,0.25,0.27,0.37,9.26,0.02,NA,57.3,27.51,5.91
PIMCO Diversified Income Fund Institutional Class (PDIIX),PDIIX,MF,Multisector Bond,4.0,4.0,5.0,5.0,5.15,6.29,5.86,5.41,14.26,4.42,14.98,-0.91,2.96,1.26,10.56,8.85,-0.99,12.78,6.37,0.8,0.79,0.79,6.95,5.71,5.61,0.76,0.84,0.87,-17.28,0.08,0.29,66.72,44.72,5.48
Delaware Ivy Apollo Strategic Income Fund Class N (IRPOX),IRPOX,MF,Multisector Bond,4.0,4.0,N/A,4.0,9.26,6.1,NA,NA,NA,NA,NA,NA,NA,NA,8.02,4.66,-0.23,9.25,7.55,2.79,0.68,0.81,7.33,5.77,NA,0.71,0.75,NA,5.94,1.02,0.2,43.05,46.84,2.95
T. Rowe Price Spectrum Income Fund (RPSIX),RPSIX,MF,Multisector Bond,4.0,3.0,4.0,4.0,8.15,6.13,5.0,4.65,9.68,4.16,10.16,3.02,3.88,-2.02,8.18,7.02,-2.62,11.55,6.06,2.61,0.62,0.62,6.93,5.6,5.06,0.73,0.69,0.81,5.34,10.2,0.95,52.66,29.44,1.41
The Hartford Strategic Income Fund Class F (HSNFX),HSNFX,MF,Multisector Bond,5.0,5.0,5.0,5.0,7.35,7.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.46,12.05,12.62,0.99,0.59,0.59,7.8,6.38,5.67,0.9,0.9,0.88,8.19,0.17,NA,36.69,51.8,3.16
Lord Abbett Bond Debenture Fund Class F3 (LBNOX),LBNOX,MF,Multisector Bond,4.0,5.0,5.0,4.0,10.69,7.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.56,13.86,7.76,3.45,0.51,0.51,9.39,7.46,6.79,0.66,0.82,0.86,NA,9.74,0.81,68.75,19.47,1.23
John Hancock Funds Strategic Income Opportunities Fund Class R6 (JIPRX),JIPRX,MF,Multisector Bond,4.0,3.0,3.0,3.0,7.05,5.86,4.19,NA,NA,NA,12.22,2.77,4.62,1.32,5.17,5.33,-4.99,11.09,8.56,1.72,0.65,0.7,6.26,5.07,4.92,0.79,0.65,0.76,4.21,5.85,0.55,32.91,47.19,9.29
BlackRock Income Fund Class K Shares (BMSKX),BMSKX,MF,Multisector Bond,4.0,4.0,4.0,4.0,7.02,6.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.66,-1.04,12.04,6.95,1.78,0.6,0.68,7.86,6.2,4.76,0.71,0.78,1.01,13.06,0.31,0.24,30.43,52.38,3.57
Franklin Strategic Income Fund Class R6 (FGKNX),FGKNX,MF,Multisector Bond,2.0,3.0,2.0,3.0,7.11,4.44,3.68,NA,NA,NA,NA,NA,2.05,-3.9,8.4,4.93,-1.4,8.56,3.74,2.31,0.51,0.54,7.28,5.8,5.43,0.48,0.54,0.6,-6.95,0.35,NA,63.43,35.05,8.13
JPMorgan Income Fund Class R6 (JMSFX),JMSFX,MF,Multisector Bond,3.0,4.0,N/A,4.0,8.27,6.2,5.17,NA,NA,NA,NA,NA,NA,-0.5,8.62,5.84,1.13,11.8,3.04,3.44,0.41,0.43,8.38,6.62,NA,0.64,0.68,NA,1.91,0.2,NA,85.74,10.39,1.76
Federated Hermes Strategic Income Fund Class R6 Shares (STILX),STILX,MF,Multisector Bond,4.0,4.0,3.0,4.0,10.29,6.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.07,13.21,6.73,3.49,0.66,0.78,8.4,6.7,5.96,0.74,0.73,0.64,8.41,2.88,0.23,52.49,35.0,0.98
John Hancock Income Fund Class R6 (JSNWX),JSNWX,MF,Multisector Bond,4.0,3.0,3.0,3.0,4.47,5.76,3.93,NA,NA,NA,12.08,2.44,4.15,0.87,3.81,4.43,-2.61,10.59,7.85,0.54,0.43,0.44,5.22,4.29,4.42,0.9,0.64,0.78,3.78,3.06,NA,39.9,43.75,9.51
JPMorgan Global Bond Opportunities Fund Class R6 (GBONX),GBONX,MF,Multisector Bond,4.0,4.0,N/A,4.0,5.93,6.03,5.09,NA,NA,NA,NA,5.33,3.56,-0.36,8.09,6.98,-1.74,10.73,7.92,1.18,0.5,0.57,5.31,4.42,NA,0.97,0.96,NA,4.02,0.26,NA,40.73,44.74,10.24
PIMCO Income Fund Institutional Class (PIMIX),PIMIX,MF,Multisector Bond,3.0,5.0,5.0,5.0,8.31,5.54,5.47,6.91,20.46,6.36,22.17,4.8,7.18,2.63,8.72,8.6,0.58,8.05,5.8,2.14,1.09,1.09,5.75,4.56,4.2,0.77,1.01,1.48,11.42,0.75,2.75,61.94,17.99,5.15
Thornburg Strategic Income Fund Class I (TSIIX),TSIIX,MF,Multisector Bond,4.0,4.0,4.0,4.0,6.77,6.28,5.07,5.16,13.48,4.8,12.81,6.3,3.53,-2.1,8.08,6.47,0.68,7.91,8.25,2.45,0.6,0.88,4.93,3.94,4.0,1.0,1.1,1.13,12.45,0.49,NA,70.67,13.3,3.1
Nuveen Strategic Income Fund Class R6 (FSFRX),FSFRX,MF,Multisector Bond,5.0,4.0,4.0,4.0,6.43,7.22,5.03,NA,NA,NA,NA,NA,NA,NA,9.61,5.46,-3.03,13.39,8.41,1.9,0.5,0.63,7.05,5.86,5.59,0.86,0.77,0.81,4.7,NA,NA,65.61,23.27,6.41
Fidelity Advisor Strategic Income Fund Class Z (FIWDX),FIWDX,MF,Multisector Bond,4.0,4.0,3.0,4.0,9.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.23,7.55,3.33,0.61,0.61,7.04,5.74,5.13,0.75,0.79,0.79,0.92,5.92,0.42,62.86,28.37,1.52
